Character	Canonical Name	Gender	Address 1	Address 2	Address 3	Politics	Marital Status	Opponent	Typical Activity	Vehicle of Choice	Weapon of Choice	Seen Wearing	Domains	Genres	Fictive Status	Portrayed By	Creator	Creation	Group Affiliation	Fictional World	Category	Negative Talking Points	Positive Talking Points
Rick Deckard	Rick Deckard	male	Los Angeles	California	USA	right	dating Rachel Tyrell	Roy Batty	retiring replicants	flying hovercar	Pflager Katsumata-D pistol	brown trenchcoat, herringbone blazer	Blade Runner, Science Fiction	science fiction, movies	fictional	Harrison Ford	Philip K. Dick		L.A. Police Department	Blade Runner	Blade Runner, Policeman, Bounty Hunter	jaded, cynical, world-weary, gruff, morally-conflicted, callous	tenacious, determined, brave, relentless, intelligent
Dr. Eldon Tyrell	Eldon Tyrell	male	Tyrell Pyramid, Los Angeles 	California	USA	right		Roy Batty	designing replicants, building replicants	flying hovercar	laser Taser gun	smoking jacket	Blade Runner, Science Fiction	science fiction, movies	fictional	Joe Turkel	Philip K. Dick	Nexus-6 androids	Tyrell Corporation	Blade Runner	Scientist, CEO, Inventor	arrogant, haughty, high-handed, manipulative, condescending, dispassionate, cold, anti-social	wealthy, clever, scientific, rich, inventive, intelligent
Thor Odinson	Thor Odinson	male	Puente Antiguo	New Mexico	USA	libertarian	dating Dr. Jane Foster	Loki Laufeyson	starting thunderstorms, smiting frost giants	goat-drawn chariot	Mjolnir	long red cape and leather breeches	Norse mythology,  Marvel Comics, The Avengers	science fiction, mythology, movies	fictional	Chris Hemsworth	Stan Lee, Jack Kirby		The Avengers	The Avengers, Marvel Comics, Norse mythology	Norse God, God, Hero	arrogant, boastful, show-offy, vain, self-regarding	heroic, strong, brave, daring, powerful, tall, agile, muscular, well-built, regal
Loki Laufeyson	Loki Laufeyson	male			Asgard			Thor Odinson	plotting against family members, devising evil schemes	Tesseract	Norn Stones, Laevateinn wand, Tesseract	long-horned helmet	Norse mythology,  Mythology, Marvel Comics	science fiction, mythology, movies	fictional	Tom Hiddleston	Stan Lee, Jack Kirby			The Avengers, Marvel Comics, Norse mythology	Norse God, God, Frost Giant, Villain	malevolent, manipulative, evil, callous, selfish, self-regarding, vain, bitter, resentful, dishonest, deceptive, duplicitous, malicious, hateful, imperious	playful, magical, mischievous, creative, fun-loving
Richard B. Riddick	Richard Riddick	male	New Mecca	Helion Prime	The Helion System	libertarian		Boss Johns, Lord Marshal Zhylaw, Alexander Toombs	evading mercenaries	Hunter-Gratzner spaceship	Necromonger knife, prison shiv, Ulak blades	muscle top and dark goggles	The Chronicles of Riddick, Science Fiction	science fiction, mythology, movies	fictional	Vin Diesel	 David Twohy			The Chronicles of Riddick	Criminal, Convict, Killer, Loner	notorious, dangerous, ruthless, predatory, violent, brutal, animalistic, bald, laconic, anti-social	cunning, strong, fast, agile, defiant, formidable, straightforward
Alan Turing	Alan Turing	male	Hut 8	Bletchley Park	UK	left		Hugh Alexander	cracking enemy codes, designing computer systems, studying computability	high Nellie bicycle	poisoned apple	Harris tweed	Mathematics, Computers, Crypography, Artificial Intelligence	mathematics, science, technology, computers		Benedict Cumberbatch		Artificial Intelligence, The Turing Machine	Hut 8	Bletchley Park	Mathematician, Scientist, Code Breaker	shy, nervous, blunt	brilliant, scientific, smart, super-intelligent, creative, enigmatic, tenacious, pioneering
Conan the Barbarian	Conan	male		Cimmeria	Hyperborea	libertarian	dating Red Sonja	Thulsa Doom	stealing jewels, fighting barbarian hordes, defending the weak, foiling the schemes of evil villains	warhorse	two-handed sword	leather loin cloth, animal skins, horned helmet, black square-cut mane, 	 Mythology, Marvel Comics, The Hyborian Age, Movies	mythology, movies, comics	fictional	Arnold Schwarzenegger	Robert E. Howard			The Hyborian Age, Marvel Comics	Thief, Barbarian, Hero, Mercenary, Warrior, Strongman	sullen, gruff, barbaric, brutal, violent	cunning, strong, fast, agile, defiant, formidable, shrewd, strategic, honorable, straightforward
Red Sonja	Sonja	female		Hyrkania	Hyperborea	libertarian	dating Conan the Barbarian	Kulan Gath	defending the weak, foiling the schemes of evil villains	horse named Throne	two-handed sword	scale-mail bikini	 Mythology, Marvel Comics, The Hyborian Age, Movies	mythology, movies, comics	fictional	Brigitte Nielson	Roy Thomas, Robert E. Howard			The Hyborian Age, Marvel Comics	Warrior, She-Devil	fierce, brutal, deadly, violent	beautiful, strong, assertive, self-assured , agile, honorable, formidable
Jeff "Comic Book Guy" Albertson	Jeff Albertson	male	The Android's Dungeon	Springfield	USA	right	married to Kumiko Albertson	Stan Lee	selling comic books, spouting movie trivia, being condescending to customers	AMC Gremlin	collectible replica phaser	XXXL Shorts and stretchy T-shirt	 The Simpsons, Springfield	cartoons	fictional	Matt Groening	Matt Groening	The Android's Dungeon	Springfield Mensa	The Simpsons	Nerd, Geek, Proprietor	overweight, geeky, fat, obnoxious, petulant, judgmental, nerdy, pedantic, obese, socially-incompetent, sarcastic, cruel, obsessive, imperious, pretentious, supercilious, know-it-all	knowledgeable, intelligent, informative
King Richard III	Richard York	male	Bosworth Field	Leicester	UK	right	married to Anne Neville	King Henry VII	grabbing power, amassing wealth, devising evil schemes	royal steed	one-handed sword	purple velvet riding gown	British politics, British royalty, Shakespeare	history, war, politics, culture			William Shakespeare		The House of York	Richard III	King, Royal, Political Leader	twisted, over-ambitious, murderous, crippled, power-hungry, cruel, ruthless, devious, manipulative	shrewd, cunning, strategic, tactical, determined
Queen Elizabeth I	Elizabeth Tudor	female	Richmond Palace	Surrey	UK	right	dating Robert Dudley	King Phillip II of Spain	ruling over subjects, running a kingdom	royal carriage	jeweled dagger, blackened teeth	 silver breastplate over a white velvet dress	British politics, British royalty	history, war, politics, culture				The Elizabethan Golden Age 	The Tudors, The House of Tudor		Queen, Royal, Political Leader	aloof, cold, unfeminine,	shrewd, strategic, strong-willed, indomitable, regal, commanding, sharp-witted
Dr. Henry Jekyll	Henry Jekyll	male	Cavendish Square	London	UK	right	single	Mr. Edward Hyde	suppressing violent urges	horse-drawn carriage	chemical weapons	frock coat and top hat	Horror, Literature, Victorian literature	horror, literature	fictional	Spencer Tracy	Robert Louis Stevenson	Mr. Edward Hyde	The League of Extraordinary Gentlemen	The Strange Case of Dr. Jekyll and Mr. Hyde	Doctor, Scientist	shy, nervous, schizophrenic, repressed, neurotic	gentel, cultivated, well-mannered, polite, gentlemanly
Mr. Edward Hyde	Edward Hyde	male	Cavendish Square	London	UK	libertarian	single	Dr. Henry Jekyll	expressing violent urges	horse-drawn carriage	heavy cane	torn frock coat	Horror, Literature, Victorian literature	horror, literature	fictional	Spencer Tracy	Robert Louis Stevenson		The League of Extraordinary Gentlemen	The Strange Case of Dr. Jekyll and Mr. Hyde	Villain, Thug, Strongman	brutal, callous, sadistic, cruel, feral, inhuman, violent, homicidal, murderous	strong, tough, muscular, powerful, gleeful,
Travis Bickle	Travis Bickle	male	The Bowery	New York City	USA	right	single	Charles Palantine	expressing violent urges, talking to mirrors, planning assassinations	New York taxicab	.44 Magnum	army-surplus parka, Mohawk haircut	Taxi Driver	movies, crime	fictional	Robert De Niro	Paul Schrader, Martin Scorsese			Taxi Driver	Assassin, Malcontent, Vigilante, Loner	socially-inept, uneducated, depressive, schizophrenic, delusional, obsessive, lonely, tightly-wound, violent	driven, romantic, protective
Tyler Durden	Tyler Durden	male	Century City	California	USA	libertarian	dating Marla Singer		stealing human  fat, making soap, engaging in bare-knuckle fighting, subverting social conventions, attacking consumerism, causing mayhem	VW Beetle	bare-knuckle fists	Oakley Mars Sunglasses, red leather Jacket, Faux Fur Coat	Fight Club, Consumerism	movies, fantasy	fictional	Brad Pitt, Edward Norton	Chuck Palahniuk	Fight Club, Project Mayhem	Project Mayhem	Fight Club	Malcontent, Outcast, Dissident, Nihilist	subversive, nihilistic, angry, destructive, dissatisfied, schizophrenic, charismatic, extreme	creative, mischievous, inspiring, inspirational, 
Sam Winchester	Sam Winchester	male	Lawrence	Kansas	USA	left	dating Jessica Moore	Lucifer	hunting demons, hunting monsters, killing demons, killing monsters, drinking demon blood	1967 Chevrolet Impala	demon blade, angel blade, holy water, burning holy oil	anti-demon tattoo, Carhartt Jacket, shaggy brown hair, lumberjack shirt	Horror, Supernatural, Demonology	television, horror, fantasy, mythology,	fictional	Jared Padalecki	Robert Kripke		The Men of Letters, The Hunters	Supernatural	Hunter, Demonologist, Vampire Slayer, Hero	moody, whiny, sulky, stubborn, arrogant, know-it-all, resentful,  coulrophobic	kind, empathetic, intelligent, smart, well-educated, independent, selfless
Dean Winchester	Dean Winchester	male	Lawrence	Kansas	USA	libertarian	separated from Lisa Braeden	Lucifer	hunting demons, hunting monsters, killing demons, killing monsters, eating bacon cheeseburgers	1967 Chevrolet Impala	demon blade, angel blade, holy water, burning holy oil	anti-demon tattoo, leather jacket	Horror, Supernatural, Demonology	television, horror, fantasy, mythology,	fictional	Jensen Ackles	Robert Kripke		The Men of Letters, The Hunters	Supernatural	Hunter, Demonologist, Vampire Slayer, Hero	immature, aviophobic, ruthless, aggressive, sarcastic, rude	understanding, kind, funny, mischievous, witty, laid-back, easy-going
Jesus Christ	Jesus Christ	male	Nazareth	Judea		right	dating Mary Magdalen	Lucifer, Judas Iscariot	preaching tolerance, spreading Christianity, healing the sick, curing lepers, promoting charity	donkey	holy water, burning holy oil	humble robe, sandals	Christianity	religion, politics, history		Willem Dafoe, Jeffrey Hunter, Robert Powell, Jeremy Sisto, Christian Bale		Christianity	Christianity, The Super Friends	The New Testament	Messiah, Preacher, Religious Leader, Guru	sanctimonious, self-righteous, messianic	kind, empathetic, intelligent, independent, selfless, generous, inspiring, inspirational, pioneering, brave, pure, understanding
Lucifer	Lucifer	male	Pandemonium	Hell		libertarian	dating Saddam Hussein	Jesus Christ, Sam Winchester, Dean Winchester	burning the wicked, tempting the innocent, promoting wickedness, laughing at God	pale horse	great balls of fire, hellfire, hell hounds	cloven hooves, horns, red cape	Christianity, Satanism	religion, horror, fantasy, mythology	fictional	Peter Stormare, Elizabeth Hurley, Al Pacino, Harvey Keitel, Viggo Mortensen, Robert De Niro		Satanism, The Hellfire Club	The Hellfire Club	The New Testament	Demon, Devil, Villain	evil, malicious, cruel, power-hungry, unfeeling, megalomaniacal, manipulative, twisted, destructive, corrupting, corrosive, resentful, sadistic	mischievous, cunning, charming, suave, persuasive, seductive, powerful
Eric Cartman	Eric Cartman	male	South Park	Colorado	USA	right	pursuing Wendy Testaburger	Kyle Broflovski	executing morally appalling plans, making racist jibes	tricycle	pair of sai	red jacket, yellow gloves,  aqua blue hat with yellow puffball on top	South Park	television, cartoons comedy	fictional	Trey Parker	Matt Stone, Trey Parker			South Park	Child, Schoolkid, Bully	aggressive, prejudiced, arrogant, narcissistic, antisemitic, psychopathic, manipulative, obese, fat, evil, vicious, angry, foul-mouthed, racist, self-centered, intolerant, bigoted, impatient	entrepreneurial, intelligent, determined
Agent Phil Coulson	Phil Coulson	male	The Triskelion	Theodore Roosevelt Island, Washington D.C.	USA	right		Loki Laufeyson	appreciating vintage collectibles, collecting Captain America trading cards, running a clandestine spy organization	1962 Chevrolet Corvette	handheld hypno-beam	boring business suit	S.H.I.E.L.D., Marvel Comics	television, espionage, science fiction, movies	fictional	Clark Gregg			S.H.I.E.L.D	Agents of S.H.I.E.L.D., Marvel Comics	Spy, Bureaucrat, Secret Agent, Hero	by-the-book, old-fashioned, stern, boring, bureaucratic, dull	affable, cheery, gentle, loyal, dedicated, tenacious, disciplined
Nick Fury	Nick Fury	male	The Triskelion	Theodore Roosevelt Island, Washington D.C.	USA	right	dating Valentina Allegra	Loki Laufeyson, Baron von Strucker	running a clandestine spy organization	black Chevrolet armored SUV	Smith and Wesson M&P	black leather coat, black eyepatch	S.H.I.E.L.D., Marvel Comics	espionage, science fiction, movies	fictional	Samuel L. Jackson, David Hasselhoff	Stan Lee, Jack Kirby	S.H.I.E.L.D	S.H.I.E.L.D	Agents of S.H.I.E.L.D., Marvel Comics	Spy, Secret Agent, Hero	gruff, aggressive, secretive, distrustful, paranoid	astute, tough, tenacious, strategic
Russell Brand	Russell Brand	male	Shoreditch	London	UK	left	divorced from Katy Perry	Donald Trump, Piers Morgan	fomenting social revolution, doing stand-up, starring in comedies	metallic black Range Rover	used syringe	deep v-neck t-shirt, flamboyant floral trousers, bowler hat	British comedy, British humour, Comedy, Movies	comedy, movies					The Groucho Club		Comedian, Actor, Lothario	preachy, loud, vulgar, foul-mouthed, controversy-seeking, bipolar, drug-damaged, cocky, sanctimonious	witty, entertaining, funny, quick-witted
Jeremy Paxman	Jeremy Paxman	male	Henley-on-Thames	Oxfordshire	UK	right	married to Elizabeth Ann Clough	Piers Morgan, Boris Johnson, Russell Brand	interviewing politicians, deflating political egos, posing pointed questions, grilling interviewees	scarlet open-topped car	pointed questions	tweed three-piece suit	Politics, the News	politics, television					The Garrick Club		Reporter, Journalist, Presenter, Interviewer	pushy, rude, sneering, condescending, arrogant, impolite, brusque, insensitive	relentless, tenacious, quick-witted, probing, knowledgeable, well-informed, well-educated, intelligent
Boris Johnson	Boris Johnson	male	Henley-on-Thames	Oxfordshire	UK	right	married to Marina Wheeler	Ken Livingston, Jeremy Paxman	making political gaffes, promoting conservative values, ranting about liberals, engaging in hapless hijinks	Routemaster bus, high Nellie bicycle	Etonian charm, Old Boy Network	shaggy uncombed hair, blue conservative tie	British politics, the British Right the Conservative Party	politics					The Conservative Party, Bullingdon Club		Mayor, Political Leader	bumbling, self-promoting, gaffe-prone, glib, superficial, facile	charming, invigorating, upbeat, well-educated, intelligent, shrewd, spontaneous, media-savvy, politically-astute
Ebenezer Scrooge	Ebenezer Scrooge	male	45 Lime Street	London	UK	right	single	Jacob Marley	saving money,  pinching pennies, terrorizing employees	shank's pony	turkey leg	starched collar, top hat, Astrakhan coat, white nightshirt	A Christmas Carol, Victorian literature, Dickensian fiction	literature	fictional	Patrick Stewart, Jim Carrey, Alistair Sim	Charles Dickens		Marley and Scrooge	A Christmas Carol	Miser, Businessman, Grump	mean, penny-pinching, covetous, greedy, miserly, misanthropic, tight-fisted, heartless	rich, wealthy, fastidious, principled
Wilkins Micawber	Wilkins Micawber	male	Southwark	London	UK	right	married to Emma Micawber	Uriah Heap	incurring debts, buying on credit	horse-drawn carriage	walking stick	knee-breeches, top hat, monocle	David Copperfield, Victorian literature, Dickensian fiction	literature	fictional	Bob Hoskins, W.C. Fields	Charles Dickens		King's Bench Debtor's Prison	David Copperfield	Debtor, Bankrupt	feckless, spendthrift, unreliable, profligate, wastrel, inept	hopeful , optimistic, good-hearted, charming, affable, upbeat
